job_title,company,location,experience,salary,posted_date,description
Cloud Engineer,Databricks,"Austin, TX",3-5 years,$120k-$160k,2024-01-18,Build and maintain cloud-native applications. AWS or Azure certification preferred. Terraform for infrastructure as code. Docker and Kubernetes expertise. CI/CD automation. Linux administration and Bash scripting. Networking and security. Monitoring and observability. Python scripting for automation. Cost management and optimization. Collaborative team environment.
Computer Vision Engineer,Samsung,"Palo Alto, CA",4-7 years,$150k-$190k,2024-04-23,"Build image recognition and analysis systems. Python and Deep Learning expertise. PyTorch for model development. CNN architectures (ResNet, EfficientNet, YOLO). Object Detection and Semantic Segmentation. Data augmentation and preprocessing with NumPy. Model optimization and quantization. Deploy using Docker and AWS. TensorFlow Lite for mobile deployment. Git version control."
Machine Learning Engineer,Meta,"Austin, TX",5-7 years,$100k-$140k,2024-04-29,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
Computer Vision Engineer,Autodesk,"Palo Alto, CA",2-4 years,$160k-$200k,2024-01-06,Create visual AI systems for product applications. Computer Vision with PyTorch and TensorFlow. Image Classification and Object Detection models. GAN for image generation. Video analysis and processing. Cloud deployment on GCP. MLflow for experiment tracking. Docker containerization. Strong mathematical foundation. Collaborative team environment.
AI Engineer,Cohere,"London, UK",3-5 years,$150k-$200k,2024-12-08,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
NLP Engineer,Meta,Remote,1-3 years,$160k-$200k,2024-08-21,"Build NLP systems for text understanding and generation. Expert in Python, PyTorch, and Transformers. Experience with BERT, GPT, and Hugging Face models. Implement Named Entity Recognition, Sentiment Analysis, and Text Classification. Knowledge of Speech Recognition and language understanding. Build data processing pipelines with Pandas and Spark. Deploy models using Docker and FastAPI. Experience with LLM fine-tuning and RAG. Strong foundation in Statistics and Linear Algebra."
Data Scientist,Deloitte,"New York, NY",2-4 years,$100k-$140k,2024-01-04,"Develop predictive models and data-driven insights. Expert in Python, SQL, and Statistics. Use scikit-learn, XGBoost, and LightGBM for modeling. Create visualizations with Matplotlib, Seaborn, and Plotly. Experience with Feature Engineering and Data Modeling. Knowledge of Clustering, Regression, and Classification techniques. Work with cloud platforms like AWS or GCP. Version control with Git. Agile methodology experience."
Data Engineer,Prefect,"New York, NY",2-4 years,$140k-$180k,2024-03-05,Build and maintain data pipelines at scale. Expert in Python and SQL. Experience with Spark and PySpark for distributed processing. Airflow for workflow orchestration. ETL pipeline development. Data Warehouse design with Snowflake or BigQuery. Kafka for real-time streaming. Docker deployment. AWS or GCP cloud services. dbt for data transformation. PostgreSQL and MongoDB. Data quality monitoring. Git version control.
Cloud Engineer,Oracle,"Reston, VA",2-4 years,$110k-$140k,2024-01-08,Build and maintain cloud-native applications. AWS or Azure certification preferred. Terraform for infrastructure as code. Docker and Kubernetes expertise. CI/CD automation. Linux administration and Bash scripting. Networking and security. Monitoring and observability. Python scripting for automation. Cost management and optimization. Collaborative team environment.
AI Engineer,Anyscale,"London, UK",1-3 years,$150k-$200k,2024-11-11,Develop cutting-edge Generative AI applications. Proficient in Python and Deep Learning frameworks. Experience with LLM deployment and Fine-tuning. Build conversational AI using LangChain and RAG. Knowledge of Prompt Engineering and model evaluation. Deploy with FastAPI and Docker. Cloud deployment on GCP or AWS. Experience with Hugging Face Transformers library. Computer Vision and multimodal AI experience. Git and CI/CD practices.
